tahun,kode_provinsi,nama_provinsi,luas_panen,produktivitas,produksi,latitude,longitude
1993,1100,Prov. Nanggroe Aceh Darussalam,17941,21.7,38924,5.55,95.31667
1993,1200,Prov. Sumatera Utara,122039,22.23,271298,3.583333,98.66666
1993,1300,Prov. Sumatera Barat,12713,22,27969,-0.95,100.3531
1993,1400,Prov. Riau,10223,21.23,21699,0.4816667,101.4686
1993,1500,Prov. Jambi,6619,15.42,10206,-1.589167,103.61
1993,1600,Prov. Sumatera Selatan,22853,21.02,48036,-2.990833,104.7567
1993,1700,Prov. Bengkulu,20139,18.1,36449,-3.795556,102.2592
1993,1800,Prov. Lampung,252827,22.91,579141,-5.429722,105.2625
1993,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1993,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1993,3100,Prov. DKI Jakarta,40,13,52,-6.183333,106.8333
1993,3200,Prov. Jawa Barat,112988,24.27,274181,-6.914722,107.6097
1993,3300,Prov. Jawa Tengah,489673,25.33,1240472,-6.966667,110.4167
1993,3400,Prov. D I Yogyakarta,37726,20.86,78701,-7.801389,110.3644
1993,3500,Prov. Jawa Timur,1012051,23.35,2363252,-7.266667,112.7167
1993,3600,Prov. Banten,0,0,0,-6.12,106.1503
1993,5100,Prov. Bali,51038,20.72,105759,-8.65,115.2167
1993,5200,Prov. Nusa Tenggara Barat,26295,19.64,51650,-8.583333,116.1167
1993,5300,Prov. Nusa Tenggara Timur,206058,17.78,366347,-10.18333,123.5833
1993,6100,Prov. Kalimantan Barat,18331,13.29,24355,-0.0166667,109.3333
1993,6200,Prov. Kalimantan Tengah,2145,13.2,2831,-2.21,113.92
1993,6300,Prov. Kalimantan Selatan,15137,12.35,18690,-3.314444,114.5925
1993,6400,Prov. Kalimantan Timur,7676,15.72,12070,-0.5022222,117.1536
1993,7100,Prov. Sulawesi Utara,62350,19.9,124053,1.493056,124.8414
1993,7200,Prov. Sulawesi Tengah,12814,11.43,14647,-0.9,119.8333
1993,7300,Prov. Sulawesi Selatan,296481,18,533577,-5.133333,119.4167
1993,7400,Prov. Sulawesi Tenggara,43402,18.84,81769,-3.9675,122.5947
1993,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1993,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1993,8100,Prov. Maluku,18814,13.32,25069,-3.7,128.1667
1993,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1993,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1993,9400,Prov. Papua,3093,12.99,4017,-2.533056,140.7169
1994,1100,Prov. Nanggroe Aceh Darussalam,13105,21.81,28578,5.55,95.31667
1994,1200,Prov. Sumatera Utara,140941,22.13,311918,3.583333,98.66666
1994,1300,Prov. Sumatera Barat,15787,22.86,36083,-0.95,100.3531
1994,1400,Prov. Riau,15484,21.49,33274,0.4816667,101.4686
1994,1500,Prov. Jambi,7825,14.49,11337,-1.589167,103.61
1994,1600,Prov. Sumatera Selatan,20014,18.14,36299,-2.990833,104.7567
1994,1700,Prov. Bengkulu,17963,17.98,32303,-3.795556,102.2592
1994,1800,Prov. Lampung,249581,22.56,563069,-5.429722,105.2625
1994,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1994,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1994,3100,Prov. DKI Jakarta,15,13.33,20,-6.183333,106.8333
1994,3200,Prov. Jawa Barat,113486,24.14,273919,-6.914722,107.6097
1994,3300,Prov. Jawa Tengah,492630,25.45,1253931,-6.966667,110.4167
1994,3400,Prov. D I Yogyakarta,63139,21.44,135356,-7.801389,110.3644
1994,3500,Prov. Jawa Timur,1117789,23.58,2636015,-7.266667,112.7167
1994,3600,Prov. Banten,0,0,0,-6.12,106.1503
1994,5100,Prov. Bali,40251,21.19,85286,-8.65,115.2167
1994,5200,Prov. Nusa Tenggara Barat,27772,18.6,51647,-8.583333,116.1167
1994,5300,Prov. Nusa Tenggara Timur,231247,17.25,398797,-10.18333,123.5833
1994,6100,Prov. Kalimantan Barat,14947,12.77,19080,-0.0166667,109.3333
1994,6200,Prov. Kalimantan Tengah,3955,13.84,5475,-2.21,113.92
1994,6300,Prov. Kalimantan Selatan,14972,12.53,18755,-3.314444,114.5925
1994,6400,Prov. Kalimantan Timur,8113,15,12169,-0.5022222,117.1536
1994,7100,Prov. Sulawesi Utara,68052,19.94,135693,1.493056,124.8414
1994,7200,Prov. Sulawesi Tengah,11869,11.56,13716,-0.9,119.8333
1994,7300,Prov. Sulawesi Selatan,300797,18.59,559093,-5.133333,119.4167
1994,7400,Prov. Sulawesi Tenggara,39255,18.73,73513,-3.9675,122.5947
1994,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1994,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1994,8100,Prov. Maluku,14827,15.25,22616,-3.7,128.1667
1994,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1994,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1994,9400,Prov. Papua,3562,11.8,4204,-2.533056,140.7169
1995,1100,Prov. Nanggroe Aceh Darussalam,20639,21.77,44921,5.55,95.31667
1995,1200,Prov. Sumatera Utara,165230,22.49,371578,3.583333,98.66666
1995,1300,Prov. Sumatera Barat,20626,23.33,48115,-0.95,100.3531
1995,1400,Prov. Riau,10158,21.12,21455,0.4816667,101.4686
1995,1500,Prov. Jambi,9499,14.96,14213,-1.589167,103.61
1995,1600,Prov. Sumatera Selatan,39165,21.12,82707,-2.990833,104.7567
1995,1700,Prov. Bengkulu,28755,18.16,52232,-3.795556,102.2592
1995,1800,Prov. Lampung,363678,23.18,843177,-5.429722,105.2625
1995,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1995,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1995,3100,Prov. DKI Jakarta,13,13.08,17,-6.183333,106.8333
1995,3200,Prov. Jawa Barat,136280,24.37,332179,-6.914722,107.6097
1995,3300,Prov. Jawa Tengah,672077,25.41,1707516,-6.966667,110.4167
1995,3400,Prov. D I Yogyakarta,68897,21.8,150204,-7.801389,110.3644
1995,3500,Prov. Jawa Timur,1187136,23.76,2820868,-7.266667,112.7167
1995,3600,Prov. Banten,0,0,0,-6.12,106.1503
1995,5100,Prov. Bali,42357,21.44,90800,-8.65,115.2167
1995,5200,Prov. Nusa Tenggara Barat,29556,17.66,52197,-8.583333,116.1167
1995,5300,Prov. Nusa Tenggara Timur,254176,16.38,416362,-10.18333,123.5833
1995,6100,Prov. Kalimantan Barat,20088,12.9,25922,-0.0166667,109.3333
1995,6200,Prov. Kalimantan Tengah,4648,14.95,6951,-2.21,113.92
1995,6300,Prov. Kalimantan Selatan,13964,12.64,17645,-3.314444,114.5925
1995,6400,Prov. Kalimantan Timur,8276,16.99,14062,-0.5022222,117.1536
1995,7100,Prov. Sulawesi Utara,79745,20.62,164431,1.493056,124.8414
1995,7200,Prov. Sulawesi Tengah,19029,13.62,25925,-0.9,119.8333
1995,7300,Prov. Sulawesi Selatan,343087,21.54,738935,-5.133333,119.4167
1995,7400,Prov. Sulawesi Tenggara,39344,20.3,79858,-3.9675,122.5947
1995,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1995,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1995,8100,Prov. Maluku,14068,9.22,12966,-3.7,128.1667
1995,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1995,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1995,9400,Prov. Papua,5209,14.64,7627,-2.533056,140.7169
1996,1100,Prov. Nanggroe Aceh Darussalam,19677,23.16,45566,5.55,95.31667
1996,1200,Prov. Sumatera Utara,174000,22.91,398707,3.583333,98.66666
1996,1300,Prov. Sumatera Barat,23676,22.55,53387,-0.95,100.3531
1996,1400,Prov. Riau,17953,21.64,38853,0.4816667,101.4686
1996,1500,Prov. Jambi,11975,14.94,17895,-1.589167,103.61
1996,1600,Prov. Sumatera Selatan,40307,21.12,85141,-2.990833,104.7567
1996,1700,Prov. Bengkulu,29708,18.16,53940,-3.795556,102.2592
1996,1800,Prov. Lampung,403264,23.27,938395,-5.429722,105.2625
1996,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1996,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1996,3100,Prov. DKI Jakarta,14,19.29,27,-6.183333,106.8333
1996,3200,Prov. Jawa Barat,132538,25.97,344242,-6.914722,107.6097
1996,3300,Prov. Jawa Tengah,614928,27.69,1702890,-6.966667,110.4167
1996,3400,Prov. D I Yogyakarta,65773,21.8,143394,-7.801389,110.3644
1996,3500,Prov. Jawa Timur,1269529,26.92,3417489,-7.266667,112.7167
1996,3600,Prov. Banten,0,0,0,-6.12,106.1503
1996,5100,Prov. Bali,42294,21.68,91704,-8.65,115.2167
1996,5200,Prov. Nusa Tenggara Barat,34570,18.94,65472,-8.583333,116.1167
1996,5300,Prov. Nusa Tenggara Timur,252808,21.83,551855,-10.18333,123.5833
1996,6100,Prov. Kalimantan Barat,25003,14.92,37307,-0.0166667,109.3333
1996,6200,Prov. Kalimantan Tengah,6685,15.15,10127,-2.21,113.92
1996,6300,Prov. Kalimantan Selatan,21598,13.14,28372,-3.314444,114.5925
1996,6400,Prov. Kalimantan Timur,6529,16.57,10819,-0.5022222,117.1536
1996,7100,Prov. Sulawesi Utara,77606,22.78,176775,1.493056,124.8414
1996,7200,Prov. Sulawesi Tengah,18441,20.31,37453,-0.9,119.8333
1996,7300,Prov. Sulawesi Selatan,337148,24.98,842332,-5.133333,119.4167
1996,7400,Prov. Sulawesi Tenggara,43025,19.46,83744,-3.9675,122.5947
1996,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1996,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1996,8100,Prov. Maluku,11076,15.05,16670,-3.7,128.1667
1996,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1996,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1996,9400,Prov. Papua,5334,15.47,8251,-2.533056,140.7169
1997,1100,Prov. Nanggroe Aceh Darussalam,25312,23.18,58679,5.55,95.31667
1997,1200,Prov. Sumatera Utara,198246,23.19,459715,3.583333,98.66666
1997,1300,Prov. Sumatera Barat,20765,22.63,47001,-0.95,100.3531
1997,1400,Prov. Riau,16320,21.6,35253,0.4816667,101.4686
1997,1500,Prov. Jambi,10524,16.88,17764,-1.589167,103.61
1997,1600,Prov. Sumatera Selatan,50777,21.36,108450,-2.990833,104.7567
1997,1700,Prov. Bengkulu,33232,18.38,61081,-3.795556,102.2592
1997,1800,Prov. Lampung,359058,30.1,1080691,-5.429722,105.2625
1997,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1997,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1997,3100,Prov. DKI Jakarta,11,18.18,20,-6.183333,106.8333
1997,3200,Prov. Jawa Barat,127994,26.25,336014,-6.914722,107.6097
1997,3300,Prov. Jawa Tengah,461420,28.01,1292325,-6.966667,110.4167
1997,3400,Prov. D I Yogyakarta,59508,27.8,165438,-7.801389,110.3644
1997,3500,Prov. Jawa Timur,1099603,27.72,3048041,-7.266667,112.7167
1997,3600,Prov. Banten,0,0,0,-6.12,106.1503
1997,5100,Prov. Bali,44190,24.3,107395,-8.65,115.2167
1997,5200,Prov. Nusa Tenggara Barat,36070,19.6,70702,-8.583333,116.1167
1997,5300,Prov. Nusa Tenggara Timur,250460,22.26,557457,-10.18333,123.5833
1997,6100,Prov. Kalimantan Barat,25440,16.11,40984,-0.0166667,109.3333
1997,6200,Prov. Kalimantan Tengah,4444,15.85,7042,-2.21,113.92
1997,6300,Prov. Kalimantan Selatan,18212,14.46,26334,-3.314444,114.5925
1997,6400,Prov. Kalimantan Timur,5418,17.5,9480,-0.5022222,117.1536
1997,7100,Prov. Sulawesi Utara,65286,21.52,140473,1.493056,124.8414
1997,7200,Prov. Sulawesi Tengah,12465,21.65,26986,-0.9,119.8333
1997,7300,Prov. Sulawesi Selatan,321824,27.1,872070,-5.133333,119.4167
1997,7400,Prov. Sulawesi Tenggara,38065,19.93,75882,-3.9675,122.5947
1997,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1997,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1997,8100,Prov. Maluku,11035,15.5,17101,-3.7,128.1667
1997,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1997,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1997,9400,Prov. Papua,6116,15.16,9269,-2.533056,140.7169
1998,1100,Prov. Nanggroe Aceh Darussalam,29000,22.64,65660,5.55,95.31667
1998,1200,Prov. Sumatera Utara,183332,27.81,509809,3.583333,98.66666
1998,1300,Prov. Sumatera Barat,29129,22.56,65701,-0.95,100.3531
1998,1400,Prov. Riau,19261,21.51,41433,0.4816667,101.4686
1998,1500,Prov. Jambi,18345,16.53,30320,-1.589167,103.61
1998,1600,Prov. Sumatera Selatan,48763,21.6,105309,-2.990833,104.7567
1998,1700,Prov. Bengkulu,36119,17.74,64062,-3.795556,102.2592
1998,1800,Prov. Lampung,374840,29.66,1111832,-5.429722,105.2625
1998,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1998,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1998,3100,Prov. DKI Jakarta,45,17.33,78,-6.183333,106.8333
1998,3200,Prov. Jawa Barat,158993,26.82,426430,-6.914722,107.6097
1998,3300,Prov. Jawa Tengah,648268,27.49,1781846,-6.966667,110.4167
1998,3400,Prov. D I Yogyakarta,62164,25.32,157382,-7.801389,110.3644
1998,3500,Prov. Jawa Timur,1348462,27.92,3765141,-7.266667,112.7167
1998,3600,Prov. Banten,0,0,0,-6.12,106.1503
1998,5100,Prov. Bali,46013,24.76,113921,-8.65,115.2167
1998,5200,Prov. Nusa Tenggara Barat,39971,19.37,77412,-8.583333,116.1167
1998,5300,Prov. Nusa Tenggara Timur,231981,20.85,483793,-10.18333,123.5833
1998,6100,Prov. Kalimantan Barat,20257,16.1,32614,-0.0166667,109.3333
1998,6200,Prov. Kalimantan Tengah,6010,15.06,9049,-2.21,113.92
1998,6300,Prov. Kalimantan Selatan,21396,14.99,32064,-3.314444,114.5925
1998,6400,Prov. Kalimantan Timur,7032,16.69,11733,-0.5022222,117.1536
1998,7100,Prov. Sulawesi Utara,73198,21.02,153878,1.493056,124.8414
1998,7200,Prov. Sulawesi Tengah,20932,20.93,43815,-0.9,119.8333
1998,7300,Prov. Sulawesi Selatan,338263,27.1,916585,-5.133333,119.4167
1998,7400,Prov. Sulawesi Tenggara,44594,21.82,97308,-3.9675,122.5947
1998,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1998,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1998,8100,Prov. Maluku,6130,13.71,8404,-3.7,128.1667
1998,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1998,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1998,9400,Prov. Papua,3421,14.55,4978,-2.533056,140.7169
1999,1100,Prov. Nanggroe Aceh Darussalam,30545,24.37,74449,5.55,95.31667
1999,1200,Prov. Sumatera Utara,199355,31.08,619667,3.583333,98.66666
1999,1300,Prov. Sumatera Barat,26140,23.01,60161,-0.95,100.3531
1999,1400,Prov. Riau,25890,21.75,56317,0.4816667,101.4686
1999,1500,Prov. Jambi,18940,16.12,30533,-1.589167,103.61
1999,1600,Prov. Sumatera Selatan,52995,21.89,116020,-2.990833,104.7567
1999,1700,Prov. Bengkulu,29718,18.57,55178,-3.795556,102.2592
1999,1800,Prov. Lampung,399827,29.42,1176489,-5.429722,105.2625
1999,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1999,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1999,3100,Prov. DKI Jakarta,34,19.71,67,-6.183333,106.8333
1999,3200,Prov. Jawa Barat,147661,28.33,418314,-6.914722,107.6097
1999,3300,Prov. Jawa Tengah,543994,28.04,1525281,-6.966667,110.4167
1999,3400,Prov. D I Yogyakarta,61919,23.84,147628,-7.801389,110.3644
1999,3500,Prov. Jawa Timur,1132407,27.82,3150869,-7.266667,112.7167
1999,3600,Prov. Banten,0,0,0,-6.12,106.1503
1999,5100,Prov. Bali,38524,25.01,96342,-8.65,115.2167
1999,5200,Prov. Nusa Tenggara Barat,35739,19.87,71005,-8.583333,116.1167
1999,5300,Prov. Nusa Tenggara Timur,237383,20.79,493535,-10.18333,123.5833
1999,6100,Prov. Kalimantan Barat,23970,15.79,37848,-0.0166667,109.3333
1999,6200,Prov. Kalimantan Tengah,7710,15.1,11645,-2.21,113.92
1999,6300,Prov. Kalimantan Selatan,23058,15.14,34905,-3.314444,114.5925
1999,6400,Prov. Kalimantan Timur,7763,17.49,13577,-0.5022222,117.1536
1999,7100,Prov. Sulawesi Utara,94012,22.18,208538,1.493056,124.8414
1999,7200,Prov. Sulawesi Tengah,28229,21.25,59980,-0.9,119.8333
1999,7300,Prov. Sulawesi Selatan,241176,27.04,652223,-5.133333,119.4167
1999,7400,Prov. Sulawesi Tenggara,37918,20.35,77152,-3.9675,122.5947
1999,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1999,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1999,8100,Prov. Maluku,7843,13.86,10870,-3.7,128.1667
1999,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1999,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1999,9400,Prov. Papua,3607,15.09,5443,-2.533056,140.7169
2000,1100,Prov. Nanggroe Aceh Darussalam,15576,23.52,36642,5.55,95.31667
2000,1200,Prov. Sumatera Utara,221906,30.05,666764,3.583333,98.66666
2000,1300,Prov. Sumatera Barat,23837,23.65,56386,-0.95,100.3531
